Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADOCW,Edoc Acquisition Corp. Warrant,0,United States,2020,55935,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADTHW,AdTheorent Holding Company Inc. Warrants,15883542,United States,2021,1638,Consumer Discretionary,Advertising
ADTX,Aditxt Inc. Common Stock,5695032,United States,2020,24496,Health Care,Biotechnology: Pharmaceutical Preparations
ADVWW,Advantage Solutions Inc. Warrant,24032019,United States,2019,5100,Consumer Discretionary,Advertising
ADX,Adams Diversified Equity Fund Inc.,0,United States,,182635,Finance,Investment Managers
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,0,United States,2021,5073,Finance,Blank Checks
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0,United States,2019,29794,,
AEI,Alset Inc. Common Stock (TX),8242344,United States,2020,7256,Real Estate,Building operators
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,United States,,36887,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,United States,,16776,,
AEMD,Aethlon Medical Inc. Common Stock,4533028,United States,,11372,Health Care,Medical/Dental Instruments
AENTW,Alliance Entertainment Holding Corporation Warrants,957498,United States,,3950,Consumer Discretionary,Durable Goods
AERT,Aeries Technology Inc. Class A Ordinary Share,37017042,United States,2021,2822,Consumer Discretionary,Professional Services
AERTW,Aeries Technology Inc. Warrant,1230778,United States,2021,1673,Consumer Discretionary,Professional Services
AFB,AllianceBernstein National Municipal Income Fund Inc,0,United States,2002,63231,Finance,Trusts Except Educational Religious and Charitable
AFIB,Acutus Medical Inc. Common Stock,5784566,United States,2020,309777,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,0,United States,2024,1000,,
AFJKR,Aimei Health Technology Co. Ltd Right,0,United States,2024,18,,
AGAE,Allied Gaming & Entertainment Inc. Common Stock,33895250,United States,2017,44374,Telecommunications,Cable & Other Pay Television Services
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,0,United States,2006,54726,Finance,Trusts Except Educational Religious and Charitable
AGFY,Agrify Corporation Common Stock,774066,United States,2021,799659,Consumer Discretionary,Military/Government/Technical
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,United States,,400,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,United States,,4702,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,United States,,160,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,United States,,5375,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,United States,,5362,,
AGRX,Agile Therapeutics Inc. Common Stock,2059559,United States,2014,87285,Health Care,Biotechnology: Pharmaceutical Preparations
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,United States,,16100,,
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,United States,,1706,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,United States,,4572,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,United States,,1,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,United States,,1410,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,United States,,4322,,
AIB,AIB Acquisition Corporation Class A Ordinary Shares,0,United States,2022,105,Finance,Blank Checks
AIBBR,AIB Acquisition Corporation Right,0,United States,2022,22,Finance,Blank Checks
AIBBU,AIB Acquisition Corporation Unit,0,United States,2022,2,Finance,Blank Checks
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,,United States,,50096,,
AIM,AIM ImmunoTech Inc. Common Stock,19292726,United States,1997,84703,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAU,Aimfinity Investment Corp. I Unit,0,United States,2022,42,Finance,Blank Checks
AIMBU,Aimfinity Investment Corp. I Subunit,0,United States,2022,2111,Finance,Blank Checks
AIMD,Ainos Inc. Common Stock,6408720,United States,,661191,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,216119,United States,,377,Health Care,Biotechnology: Pharmaceutical Preparations
AINC,Ashford Inc. (Holding Company) Common Stock,8002798,United States,2014,29806,Consumer Discretionary,Professional Services
AIRG,Airgain Inc. Common Stock,47414439,United States,2016,128092,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,14028693,United States,,1523,Industrials,Military/Government/Technical
AISPW,Airship AI Holdings Inc. Warrants,9002104,United States,2021,3077508,Finance,Blank Checks
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,0,United States,2024,44337,,
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,0,United States,2024,2000,,
AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,0,United States,2023,600,,
AKLI,Akili Inc. Common Stock,24942571,United States,2021,525570,Technology,Computer Software: Prepackaged Software
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,,United States,,8176,,
ALBT,Avalon GloboCare Corp. Common Stock,4399814,United States,,48251,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALCE,Alternus Clean Energy Inc. Class A Common Stock,29850060,United States,2022,695087,Utilities,Power Generation
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,0,United States,2023,193,Finance,Blank Checks
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,,United States,,45022,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,,United States,,68322,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,,United States,,6883,,
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,,United States,,31863,,
ALLR,Allarity Therapeutics Inc. Common Stock,1873594,United States,,155984,Health Care,Biotechnology: Pharmaceutical Preparations
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,21940523,United States,,44153,Telecommunications,Telecommunications Equipment
ALRN,Aileron Therapeutics Inc. Common Stock,27114592,United States,2017,20576,Health Care,Biotechnology: Pharmaceutical Preparations
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,0,United States,2022,34,Finance,Blank Checks
ALSAR,Alpha Star Acquisition Corporation Rights,0,United States,2022,2100,Finance,Blank Checks
ALSAW,Alpha Star Acquisition Corporation Warrants,0,United States,2022,1551,Finance,Blank Checks
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),,United States,,7,,
ALTU,Altitude Acquisition Corp. Class A Common Stock,0,United States,2021,881,Finance,Blank Checks
ALTUW,Altitude Acquisition Corp. Warrant,0,United States,2021,67825,Finance,Blank Checks
ALZN,Alzamend Neuro Inc. Common Stock,8331223,United States,2021,699025,Health Care, Medicinal Chemicals and Botanical Products 
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,,United States,,1863,,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,,United States,,4384,,
AMPE,Ampio Pharmaceuticals Inc.,1314593,United States,2022,21428,Health Care,Biotechnology: Pharmaceutical Preparations
AMPG,Amplitech Group Inc. Common Stock,18018030,United States,,35202,Telecommunications,Telecommunications Equipment
AMPGW,Amplitech Group Inc. Warrants,1433693,United States,,85,Telecommunications,Telecommunications Equipment
AMS,American Shared Hospital Services Common Stock,17010630,United States,1988,5510,Health Care,Medical Specialities
AMST,Amesite Inc. Common Stock,4970470,United States,2020,17615,Technology,Computer Software: Prepackaged Software
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,0,United States,2024,16501,,
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,0,United States,2007,384956,Finance,Investment Managers
AOGO,Arogo Capital Acquisition Corp. Class A Common Stock,0,United States,2022,42,Technology,Computer Software: Prepackaged Software
AONCW,American Oncology Network Inc. Warrant,11434219,United States,2021,19808,Health Care,Medical/Nursing Services
AP,Ampco-Pittsburgh Corporation Common Stock,49664373,United States,,27429,Industrials,Fluid Controls
APAC,StoneBridge Acquisition Corporation Class A Ordinary Shares,0,United States,2021,58278,Finance,Blank Checks
APACU,StoneBridge Acquisition Corporation Unit,0,United States,2021,517,Finance,Blank Checks
APACW,StoneBridge Acquisition Corporation Warrant,0,United States,2021,7055,Finance,Blank Checks
APCX,AppTech Payments Corp. Common Stock,37657514,United States,,22489,Finance,Finance: Consumer Services
APDN,Applied DNA Sciences Inc. Common Stock,9677861,United States,,63795,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
APLMW,Apollomics Inc. Warrant,2343488,United States,,5016,Finance,Blank Checks
APO^A,Apollo Global Management Inc. 6.75% Series A Mandatory Convertible Preferred Stock,,United States,,13696,,
APRE,Aprea Therapeutics Inc. Common stock,30528618,United States,2019,13162,Health Care,Biotechnology: Pharmaceutical Preparations
APVO,Aptevo Therapeutics Inc. Common Stock,2437919,United States,,1074959,Health Care,Biotechnology: Pharmaceutical Preparations
AQB,AquaBounty Technologies Inc. Common Stock,9501527,United States,,29434,Consumer Staples,Meat/Poultry/Fish
AQU,Aquaron Acquisition Corp. Common Stock,0,United States,2022,9638,Finance,Blank Checks
AQUNR,Aquaron Acquisition Corp. Rights,0,United States,2022,2,Finance,Blank Checks
AREB,American Rebel Holdings Inc. Common Stock,1601354,United States,,174276,Industrials,Plastic Products
AREBW,American Rebel Holdings Inc. Warrants,46183,United States,,30592,Industrials,Plastic Products
AREN,The Arena Group Holdings Inc. Common Stock,42902804,United States,2022,33479,Health Care,Medical/Dental Instruments
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),,United States,,27955,,
ARRW,Arrowroot Acquisition Corp. Class A common stock,0,United States,2021,10546,Finance,Blank Checks
ARRWU,Arrowroot Acquisition Corp. Unit,0,United States,2021,2700,Finance,Blank Checks
ARRWW,Arrowroot Acquisition Corp. Warrant,0,United States,2021,31311,Finance,Blank Checks
ARTL,Artelo Biosciences Inc. Common Stock,4687770,United States,,6165,Health Care,Biotechnology: Pharmaceutical Preparations
ARTLW,Artelo Biosciences Inc. Warrant,47834,United States,,100,Health Care,Biotechnology: Pharmaceutical Preparations
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,9873256,United States,,1440,Industrials,Industrial Machinery/Components
ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,,United States,,7606,,
ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,,United States,,21597,,
ASG,Liberty All-Star Growth Fund Inc.,0,United States,,377845,Finance,Investment Managers
ASNS,Actelis Networks Inc. Common Stock,2933751,United States,2022,8841,Telecommunications,Telecommunications Equipment
ASRV,AmeriServ Financial Inc. Common Stock,43897011,United States,,30959,Finance,Major Banks
ASST,Asset Entities Inc. Class B Common Stock,7853670,United States,2023,141811,Technology,Computer Software: Prepackaged Software
ASTC,Astrotech Corporation (DE) Common Stock,12967175,United States,,1190,Industrials,Biotechnology: Laboratory Analytical Instruments
ASTI,Ascent Solar Technologies Inc. Common Stock,1440522,United States,,626715,Technology,Semiconductors
ASTR,Astra Space Inc. Class A Common Stock,20041605,United States,2020,2083414,Consumer Discretionary,Transportation Services
ATER,Aterian Inc. Common Stock,39603623,United States,2019,580089,Consumer Discretionary,Home Furnishings
ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,0,United States,,8201,Finance,Finance: Consumer Services
ATMC,AlphaTime Acquisition Corp Ordinary Shares,0,United States,2023,139,Finance,Blank Checks
ATMCR,AlphaTime Acquisition Corp Right,0,United States,2023,428,Finance,Blank Checks
ATMCU,AlphaTime Acquisition Corp Unit,0,United States,2022,3,Finance,Blank Checks
ATMCW,AlphaTime Acquisition Corp Warrant,0,United States,2023,122,Finance,Blank Checks
ATMV,AlphaVest Acquisition Corp Ordinary Shares,0,United States,2023,40910,Finance,Blank Checks
ATMVR,AlphaVest Acquisition Corp Right,0,United States,2023,3,Finance,Blank Checks
ATMVU,AlphaVest Acquisition Corp Unit,0,United States,2022,100,Finance,Blank Checks
ATNF,180 Life Sciences Corp. Common Stock,2277869,United States,2017,164231,Health Care,Biotechnology: Pharmaceutical Preparations
ATNFW,180 Life Sciences Corp. Warrant,3915,United States,2017,4389,Health Care,Biotechnology: Pharmaceutical Preparations
ATXI,Avenue Therapeutics Inc. Common Stock,2225600,United States,2017,2255089,Health Care,Biotechnology: Pharmaceutical Preparations
AUB^A,Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A,,United States,,30091,,
AULT,Ault Alliance Inc. Common Stock,1129524,United States,1997,2457156,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,,United States,,191,,
AUMN,Golden Minerals Company Common Stock,5431053,United States,,151070,Basic Materials,Precious Metals
AUUD,Auddia Inc. Common Stock,2789380,United States,2021,25982,Technology,Computer Software: Prepackaged Software
AUUDW,Auddia Inc. Warrants,23722,United States,2021,1307,Technology,Computer Software: Prepackaged Software
AUVI,Applied UV Inc. Common Stock,930913,United States,2020,47063,Consumer Discretionary,Building Products
AUVIP,Applied UV Inc. 10.5% Series A Cumulative Perpetual Preferred Stock $0.0001 par value per share,2504600,United States,,6406,Consumer Discretionary,Building Products
AVGR,Avinger Inc. Common Stock,5062586,United States,2015,4346,Health Care,Medical/Dental Instruments
AVHI,Achari Ventures Holdings Corp. I Common Stock,0,United States,2021,200,Finance,Blank Checks
AVHIU,Achari Ventures Holdings Corp. I Unit,0,United States,2021,205,Finance,Blank Checks
AVHIW,Achari Ventures Holdings Corp. I Warrant,0,United States,2021,2,Finance,Blank Checks
AVK,Advent Convertible and Income Fund,0,United States,2003,67506,Finance,Trusts Except Educational Religious and Charitable
AVTX,Avalo Therapeutics Inc. Common Stock,3607250,United States,2015,9414,Health Care,Biotechnology: Pharmaceutical Preparations
AWF,Alliancebernstein Global High Income Fund,0,United States,1993,143966,Finance,Trusts Except Educational Religious and Charitable
AWH,Aspira Women's Health Inc. Common Stock,40106916,United States,,22847,Health Care,Medical/Dental Instruments
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,0,United States,2007,477462,Finance,Trusts Except Educational Religious and Charitable
AWRE,Aware Inc. Common Stock,40933866,United States,1996,47392,Technology,Computer Software: Prepackaged Software
AWX,Avalon Holdings Corporation Common Stock,9275966,United States,1998,379,Utilities,Environmental Services
AXDX,Accelerate Diagnostics Inc. Common Stock,15423641,United States,,70838,Industrials,Biotechnology: Laboratory Analytical Instruments
AYRO,AYRO Inc. Common Stock,8215430,United States,,24740,,
AYTU,Aytu BioPharma Inc.  Common Stock,16925495,United States,,29011,Health Care,Biotechnology: Pharmaceutical Preparations
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,,United States,,72353,,
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,,United States,,23736,,
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,,United States,,25714,,
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,,United States,,4462,,
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,,United States,,50695,,
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,,United States,,40439,,
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,,United States,,61873,,
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,,United States,,35633,,
BAC^Q,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ,,United States,,101241,,
BAC^S,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS,,United States,,23718,,
BACK,IMAC Holdings Inc. Common Stock,1582266,United States,2019,26654,Health Care,Medical Specialities
BAERW,Bridger Aerospace Group Holdings Inc. Warrant,8950908,United States,,5000,Finance,Blank Checks
BANC^F,Banc of California Inc. Depositary Shares each representing a 1/40th interest in a share of 7.75% non-cumulative perpetual preferred stock Series F,,United States,,76835,,
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,0,United States,,516,Finance,Major Banks
BAYA,Bayview Acquisition Corp Ordinary Shares,0,United States,2023,1807,,
BAYAR,Bayview Acquisition Corp Right,0,United States,2023,20000,,
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,26325616,United States,2000,4118,Consumer Discretionary,Broadcasting
BBLG,Bone Biologics Corp Common Stock,1223405,United States,,65692,Health Care,Industrial Specialties
BBLGW,Bone Biologics Corp Warrants,7185501,United States,,304,Health Care,Industrial Specialties
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,0,United States,2010,127567,Finance,Finance Companies
BC^A,Brunswick Corporation 6.500% Senior Notes due 2048,,United States,,3611,,
BC^B,Brunswick Corporation 6.625% Senior Notes due 2049,,United States,,11214,,
BC^C,Brunswick Corporation 6.375% Notes due 2049,,United States,,7658,,
BCDA,BioCardia Inc. Common Stock,8866129,United States,,448320,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCDAW,BioCardia Inc. Warrant,441036,United States,,45480,Health Care,Biotechnology: Pharmaceutical Preparations
BCEL,Atreca Inc. Class A Common Stock,9783184,United States,2019,716235,Health Care,Biotechnology: Pharmaceutical Preparations
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,17055389,United States,,1876073,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCOW,1895 Bancorp of Wisconsin Inc. (MD) Common Stock,44356015,United States,2019,129,Finance,Banks
BCV,Bancroft Fund Ltd.,0,United States,1972,22040,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,,United States,,3292,,
BDJ,Blackrock Enhanced Equity Dividend Trust,0,United States,2005,995083,Finance,Finance Companies
BDL,Flanigan's Enterprises Inc. Common Stock,45499679,United States,1972,4141,Consumer Discretionary,Restaurants
BEAT,Heartbeam Inc. Common Stock,41863161,United States,2021,55080,Technology,Retail: Computer Software & Peripheral Equipment
BEEMW,Beam Global Warrant,8540048,United States,,1040,Technology,Semiconductors
BENF,Beneficient Class A Common Stock,29072024,United States,,1630905,Finance,Blank Checks
BENFW,Beneficient Warrant,0,United States,,5641,Finance,Blank Checks
BF/A,Brown Forman Corporation,,United States,,67595,,
BF/B,Brown Forman Corporation,,United States,,2659932,,
BFK,BlackRock Municipal Income Trust,0,United States,,71066,Finance,Finance Companies
BFRG,Bullfrog AI Holdings Inc. Common Stock,25902237,United States,2023,359006,Technology,Retail: Computer Software & Peripheral Equipment
BFRGW,Bullfrog AI Holdings Inc. Warrants,5037223,United States,2023,20034,Technology,Retail: Computer Software & Peripheral Equipment
BFRI,Biofrontera Inc. Common Stock,1174756,United States,2021,69446,Health Care,Biotechnology: Pharmaceutical Preparations
BFRIW,Biofrontera Inc. Warrants,79830,United States,2021,17001,Health Care,Biotechnology: Pharmaceutical Preparations
BFS^D,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock,,United States,,2054,,
BFS^E,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock,,United States,,3141,,
BFX,BowFlex Inc. Common Stock,7099526,United States,,351922,Consumer Discretionary,Recreational Games/Products/Toys
BFZ,BlackRock California Municipal Income Trust,0,United States,2001,25107,Finance,Finance Companies
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,0,United States,2012,112786,Finance,Trusts Except Educational Religious and Charitable
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,0,United States,2012,58430,Finance,Investment Managers
BGT,BlackRock Floating Rate Income Trust,0,United States,2004,50889,Finance,Trusts Except Educational Religious and Charitable
BGXX,Bright Green Corporation Common Stock,45970955,United States,,416215,Health Care,Biotechnology: Pharmaceutical Preparations
BGY,Blackrock Enhanced International Dividend Trust,0,United States,2007,287294,Finance,Trusts Except Educational Religious and Charitable
BHAC,Focus Impact BH3 Acquisition Company Class A Common Stock,0,United States,2021,4018,Finance,Blank Checks
BHIL,Benson Hill Inc. Common Stock,39300286,United States,2021,1263524,Consumer Staples,Packaged Foods
BHK,Blackrock Core Bond Trust,0,United States,2001,149842,Finance,Finance Companies
BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,,United States,,3863,,
BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share,,United States,,2327,,
BHV,BlackRock Virginia Municipal Bond Trust,0,United States,2002,3328,Finance,Finance/Investors Services
BIAF,bioAffinity Technologies Inc. Common Stock,28506729,United States,2022,3613708,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BIAFW,bioAffinity Technologies Inc. Warrant,5421030,United States,2022,2809,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BIO/B,Bio-Rad Laboratories Inc.,,United States,,5,,
BIOL,Biolase Inc. Common Stock,330736,United States,,3775442,Health Care,Medical/Dental Instruments
BIOR,Biora Therapeutics Inc. Common Stock,26074039,United States,2020,499229,Health Care,Biotechnology: Pharmaceutical Preparations
BIVI,BioVie Inc. Class A Common Stock,35991640,United States,,6476108,Health Care,Biotechnology: Pharmaceutical Preparations
BJDX,Bluejay Diagnostics Inc. Common Stock,1067395,United States,2021,164153,Health Care,Medical Specialities
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),0,United States,1993,32046,Finance,Trusts Except Educational Religious and Charitable
BKTI,BK Technologies Corporation Common Stock,40775234,United States,,1584,Technology,Radio And Television Broadcasting And Communications Equipment
BKYI,BIO-key International Inc. Common Stock,1853770,United States,,43924,Technology,Computer Software: Prepackaged Software
BLAC,Bellevue Life Sciences Acquisition Corp. Common Stock,0,United States,2023,170700,Finance,Blank Checks
BLACW,Bellevue Life Sciences Acquisition Corp. Warrant,0,United States,2023,138245,Finance,Blank Checks
BLBX,Blackboxstocks Inc. Common Stock,8643442,United States,,1616,Technology,EDP Services
BLDEW,Blade Air Mobility Inc. Warrants,14926751,United States,2019,8231,Consumer Discretionary,Aerospace
BLE,BlackRock Municipal Income Trust II,0,United States,2002,68873,Finance,Finance/Investors Services
BLEU,bleuacacia ltd Class A Ordinary Shares,0,United States,2022,519,Finance,Blank Checks
BLEUW,bleuacacia ltd Warrants,0,United States,2022,22,Finance,Blank Checks
BLIN,Bridgeline Digital Inc. Common Stock,11667722,United States,2007,113670,Technology,Computer Software: Prepackaged Software
BML^G,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1),,United States,,5102,,
BML^H,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2),,United States,,327765,,
